Headline,URL,Month Published,FB Enagements,Category,
"""Security Detail Tackles Homeless Man On Oscars Red Carpet, Turned Out To Be Rob Zombie""",http://heaviermetal.net/security-detail-tackles-homeless-man-on-oscars-red-carpet-turns-out-to-be-rob-zombie,February,"357,176.00",Race,
"""Man shoots off his own penis taking selfies with gun"" ",https://thevalleyreport.com/2016/03/14/man-shoots-off-his-own-penis-taking-selfies-with-gun/,March,"352,256.00",Music,
Pence: “Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had” ,http://www.usanewsflash.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,October,"352,000.00",Crime,
"""Pro-Lifers Declare ""Ejaculation Is Murder: Every Sperm Cell Is A Life"" ",http://straightstoned.com/pro-lifers-declare-ejaculation-murder-every-sperm-cell-life/,May,"342,546.00",Politics,
"""Man’s Penis Gets Ripped Off After Attempting To Rape A Pit Bull""",https://empireherald.com/mans-penis-gets-ripped-off-after-attempting-to-rape-a-pit-bull/,February,"342,046.00",Sexuality,
Fort Wayne Man Dressed As Clown Shot In Head; Condition Critical - Daily Finesser,https://www.dailyfinesser.com/fort-wayne-man-dressed-clown-shot-head-condition-critical/,October,"333,684.00",Crime,
Rupaul claims Trump touched him inappropriately in the 1990s,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,October,"301,193.00",Crime,
Los Angeles Tap Water Contains 12% Xanax and 4% OxyCodone,http://www.satiratribune.com/2016/04/13/los-angeles-tap-water-contains-12-xanax-4-oxycodone/,April,"293,462.00",Politics,
"Saudi Arabia: Panel of Scientists admits Women are Mammals, yet ‘Not Human’",http://worldnewsdailyreport.com/saudi-arabia-panel-of-scientists-admits-women-are-mammals-yet-not-human/,March,"290,599.00",Science,
African Billionaire Will Give $1 Million To Anyone Who Wants To Leave America if Donald Trump is Elected President,https://empireherald.com/back-to-africa-movement-to-help-blacks-leave-america-if-donald-trump-becomes-president/,March,"279,277.00",Science,
"Girl Infects 586 Men With HIV On Purpose, Plans On Infecting 2,000 More Before 2017 - TRENDING",http://tmzhiphop.com/girl-infects-586-men-with-hiv-on-purpose-plans-on-infecting-2000-more-before-2017/,July,"278,434.00",Politics,
Casey Anthony Starts Home Daycare Business In Florida,http://thebostontribune.com/casey-anthony-obtains-florida-business-license-for-home-daycare/,August,"274,458.00",Crime,
"Daycare Busted Running Toddler Fightclub, Parents Outraged",http://www.celebtricity.com/daycare-busted-running-toddler-fightclub-parents-outraged/,July,"260,853.00",Crime,
Obama Signs Executive Order Declaring Investigation Into Election Results; Revote Planned For Dec. 19th,http://abcnews.com.co/obama-signs-executive-order-declaring-investigation-of-election-results/,November,"258,902.00",Crime,
"Mike Pence: “Sarah Palin Is My Role Model For Beautiful, Smart American Women” - Newslo",http://politicops.com/mike-pence-sarah-palin-role-model-beautiful-smart-american-women/,September,"253,959.00",Politics,
Graham Says Christians Must Support Trump or Face Death Camps,http://bizstandardnews.com/2016/07/23/graham-says-christians-must-support-trump-or-face-death-camps/,July,"247,045.00",Politics,
The United States Revokes Scientology's Tax-Exempt Status - ABC News,http://abcnews.com.co/united-states-revokes-scientologys-tax-exempt-status/,March,"241,665.00",Politics,
Michael Jordan Says I Won’t Release Another Shoe Until Black People Unite - TRENDING,http://tmzhiphop.com/michael-jordan-says-i-wont-release-another-shoe-until-black-people-unite/,July,"239,396.00",Religion,
Woman With Too Much Makeup Mistaken As Clown; Attacked By Angry Mob - Daily Finesser,https://www.dailyfinesser.com/woman-with-too-much-makeup-mistaken-as-clown-attacked-by-angry-mob/,October,"236,192.00",Race,
WHOA! Hillary Caught On Hot Mic Trashing Beyonce’ With RACIAL SLURS!,http://thelastlineofdefense.org/woah-hillary-caught-on-hot-mic-trashing-beyonce-with-racial-slurs/,November,"232,084.00",Crime,
"Atlanta Officer Kills Black Woman, Injures Child, Following Breastfeeding Argument",http://baltimoregazette.com/atlanta-officer-kills-black-woman-following-breastfeeding-argument/,September,"221,455.00",Politics,
Woman Puts Poison On Her Vagina To Kill Husband When He Went Down On Her,http://www.celebtricity.com/woman-puts-poison-on-her-vagina-to-kill-husband-when-he-went-down-on-her/,July,"211,837.00",Crime,
Morgue worker arrested after giving birth to a dead man’s baby,http://worldnewsdailyreport.com/morgue-worker-arrested-after-giving-birth-to-a-dead-mans-baby/,January,"211,367.00",Crime,
Actor Bill Murray Announces 2016 Presidential Run,http://abcnews.com.co/actor-bill-murray-announces-2016-presidential-run/,January,"209,719.00",Crime,
"Pope Francis Shocks World, Endorses Hillary Clinton for President, Releases Statement",http://kypo6.com/breaking/pope-francis-shocks-world-endorses-hillary-clinton-for-president-releases-statement/,July,"203,100.00",Politics,
"Babysitter Discovers “Clown Doll” In Kid’s Room Was A Real Person, Raping The Child At Night - TRENDING",http://tmzhiphop.com/babysitter-discovers-clown-doll-in-kids-room-was-a-real-person-raping-the-child-at-night/,April,"198,614.00",Politics,
Trump Claims America Should Never Have Given Canada Its Independence,http://www.burrardstreetjournal.com/trump-canada-independence-was-mistake/,July,"198,558.00",Politics,
Zimbabwe: Pride of lions kills 5 poachers and injures 3 others,http://worldnewsdailyreport.com/zimbabwe-pride-of-lions-kills-5-poachers-and-injures-3-others/,March,"184,897.00",Politics,
,,,,Animals,
,,,,,
,,,,,
